no,区市町村,name,郵便番号,address,phone,,,
40,台東区,"医療法人社団正徳会
滝口外科胃腸科整形外科",〒111-0042,台東区寿3-2-7,03-3844-2276,,,
41,墨田区,"医療法人伯鳳会
東京曳舟病院",〒131-0032,墨田区東向島2-27-1,03-5655-1120  ,,,
42,墨田区,"医療法人社団隆靖会
墨田中央病院",〒131-0046,墨田区京島3-67-1,03-3617-1414 ,,,
43,墨田区,"社会福祉法人恩賜財団済生会済生会支部東京都済生会
東京都済生会向島病院",〒131-0041,墨田区八広1-5-10,03-3610-3651 ,,,
44,墨田区,"医療法人社団仁寿会
中村病院",〒131-0041,墨田区八広2-1-1,03-3612-7131 ,,,
45,墨田区,東京都立墨東病院,〒130-8575,墨田区江東橋4-23-15,03-3633-6151 ,,,
46,墨田区,同愛記念病院,〒130-8587,墨田区横網2-1-11,03-3625-6381,,,
47,墨田区,"社会福祉法人賛育会
賛育会病院",〒130-0012,墨田区太平3-20-2,03-3622-9191,,,
48,墨田区,"医療法人財団正明会
山田記念病院",〒130-0011,墨田区石原2-20-1,03-3624-1151 ,,,
49,江東区,"社会医療法人社団順江会
江東病院",〒136-0072,江東区大島6-8-5,03-3685-2166 ,,,
50,江東区,"医療法人財団寿康会
寿康会病院",〒136-0073,江東区北砂2-1-22,03-3645-9151 ,,,
51,江東区,医療法人社団藤﨑病院,〒136-0076,江東区南砂1-25-11,03-3648-2111 ,,,
52,江東区,順天堂大学医学部附属順天堂東京江東高齢者医療センター,〒136-0075,江東区新砂3-3-20,03-5632-3111,,,
53,江東区,独立行政法人地域医療機能推進機構　東京城東病院,〒136-0071,江東区亀戸9-13-1,03-3685-1431 ,,,
54,江東区,医療法人社団高裕会　　　　　　　　　　　　　深川立川病院,〒135-0011,江東区扇橋2-2-3,03-3645-2101 ,,,
55,江東区,"医療法人社団青藍会
鈴木病院",〒135-0043,江東区塩浜2-7-3,03-5617-5617,,,
56,江東区,"公益財団法人がん研究会
有明病院",〒135-0063,江東区有明3-8-31,03-3520-0111,,,
57,江東区,"社会福祉法人あそか会
あそか病院",〒135-0002,江東区住吉1-18-1,03-3632-0290 ,,,
58,江東区,"医療法人社団修世会
木場病院",〒135-0042,江東区木場5-8-7,03-3642-0032 ,,,
59,江東区,昭和大学江東豊洲病院,〒135-0061,江東区豊洲5-1-38,03-6204-6000,,,
60,品川区,"公益財団法人河野臨床医学
研究所附属第三北品川病院",〒140-0001,品川区北品川3-3-7,03-3474-1831 ,,,
61,品川区,"医療法人財団岩井医療財団
稲波脊椎・関節病院",〒140-0002,品川区東品川3-17-5,03-3450-1773,,,
62,品川区,"医療法人社団冠心会
大崎病院東京ハートセンター",〒141-0001,品川区北品川5-4-12,03-5789-8100,,,
63,品川区,NTT東日本関東病院,〒141-8625,品川区東五反田5-9-22,03-3448-6111,,,
64,品川区,"医療法人社団東京巨樹の会
東京品川病院",〒140-8522,品川区東大井6-3-22,03-3764-0511,,,
65,品川区,昭和大学病院,〒142-8666,品川区旗の台1-5-8,03-3784-8000 ,,,
66,品川区,"医療法人社団おきの会
旗の台病院",〒142-0064,品川区旗の台5-17-16,03-3781-1108 ,,,
67,目黒区,"国家公務員共済組合連合会
三宿病院",〒153-0051,目黒区上目黒5-33-12,03-3711-5771 ,,,
68,目黒区,"医療法人社団菫会
目黒病院",〒152-0001,目黒区中央町2-12-6,03-3711-5641 ,,,
69,目黒区,"国家公務員共済組合連合会
東京共済病院",〒153-8934,目黒区中目黒2-3-8,03-3712-3151 ,,,
70,目黒区,東邦大学医療センター大橋病院,〒153-8515,目黒区大橋2-22-36,03-3468-1251 ,,,
71,目黒区,総合病院厚生中央病院,〒153-8581,目黒区三田1-11-7,03-3713-2141 ,,,
72,目黒区,"独立行政法人国立病院機構
東京医療センター",〒152-8902,目黒区東が丘2-5-1,03-3411-0111 ,,,
73,目黒区,"医療法人社団目黒厚生会
本田病院",〒152-0022,目黒区柿の木坂1-30-5,03-3718-9731 ,,,
74,目黒区,"医療法人財団日扇会
第一病院",〒152-0031,目黒区中根2-10-20,03-3718-7281 ,,,
75,目黒区,"医療法人社団爽玄会
碑文谷病院",〒152-0013,目黒区南2-9-7,03-3723-1515 ,,,
76,大田区,東邦大学医療センター大森病院,〒143-8541,大田区大森西6-11-1,03-3762-4151 ,,,
77,大田区,"社会医療法人財団仁医会
牧田総合病院",〒143-8505,大田区大森北1-34-6,03-3762-4671 ,,,
78,大田区,医療法人社団松井病院,〒146-0082,大田区池上2-7-10,03-3752-1111 ,,,
79,大田区,"日本赤十字社東京都支部
大森赤十字病院",〒143-8527,大田区中央4-30-1,03-3775-3111 ,,,
80,大田区,大田病院,〒143-0012,大田区大森東4-4-14,03-3762-8421 ,,,
81,大田区,独立行政法人労働者健康安全機構　東京労災病院,〒143-0013,大田区大森南4-13-21,03-3742-7301 ,,,
82,大田区,"医療法人社団七仁会
田園調布中央病院",〒145-0071,大田区田園調布2-43-1,03-3721-7121 ,,,
83,大田区,公益財団法人東京都保健医療公社　荏原病院,〒145-0065,大田区東雪谷4-5-10,03-5734-8000 ,,,
84,大田区,"医療法人社団松和会
池上総合病院",〒146-8531,大田区池上6-1-19,03-3752-3151,,,
85,大田区,"東急株式会社
東急病院",〒145-0062,大田区北千束3-27-2,03-3718-3674,,,
86,大田区,"医療法人社団静恒会
本多病院",〒146-0094,大田区東矢口1-17-15,03-3732-2331 ,,,
87,大田区,"医療法人社団森と海東京
東京蒲田病院",〒144-0051,大田区西蒲田7-10-1,03-3733-0525 ,,,
88,大田区,独立行政法人地域医療機能推進機構　東京蒲田医療センター,〒144-0035,大田区南蒲田2-19-2,03-3738-8221 ,,,
89,大田区,"医療法人社団
渡辺病院",〒144-0043,大田区羽田1-5-16,03-3741-0223,,,
90,世田谷区,"一般財団法人平和協会
駒沢病院",〒154-0012,世田谷区駒沢2-2-15,03-3424-2515 ,,,
91,世田谷区,"医療法人社団さくら会
世田谷中央病院",〒154-0017,世田谷区世田谷1-32-18,03-3420-7111 ,,,
92,世田谷区,自衛隊中央病院,〒154-8532,世田谷区池尻1-2-24,03-3411-0151,,,
93,世田谷区,"医療法人社団大坪会
三軒茶屋病院",〒154-0024,世田谷区三軒茶屋1-21-5,03-3410-7321 ,,,
94,世田谷区,"医療法人社団大坪会
三軒茶屋第一病院",〒154-0024,世田谷区三軒茶屋1-22-8,03-5787-2211,,,
95,世田谷区,東京都立松沢病院,〒156-0057,世田谷区上北沢2-1-1,03-3303-7211 ,,,
96,世田谷区,古畑病院,〒154-0001,世田谷区池尻2-33-10,03-3424-0705,,,
97,世田谷区,"公益財団法人日産厚生会
玉川病院",〒158-0095,世田谷区瀬田4-8-1,03-3700-1151 ,,,
98,世田谷区,医療法人横浜未来ヘルスケアシステム　奥沢病院,〒158-0083,世田谷区奥沢2-11-11,03-5701-7788 ,,,
99,世田谷区,"医療法人社団東京明日佳
東京明日佳病院",〒158-0083,世田谷区奥沢3-33-13,03-3720-2151 ,,,
100,世田谷区,"公立学校共済組合
関東中央病院",〒158-8531,世田谷区上用賀6-25-1,03-3429-1171 ,,,
101,世田谷区,"国立研究開発法人
国立成育医療研究センター",〒157-0074,世田谷区大蔵2-10-1,03-3416-0181,,,
102,世田谷区,"社会福祉法人康和会
久我山病院",〒157-0061,世田谷区北烏山2-14-20,03-3309-1111 ,,,
103,世田谷区,"医療法人社団下田緑眞会
世田谷北部病院",〒157-0062,世田谷区南烏山2-9-17,03-3308-5221 ,,,
104,世田谷区,一般社団法人至誠会第二病院,〒157-8550,世田谷区上祖師谷5-19-1,03-3300-0366 ,,,
105,渋谷区,日本赤十字社医療センター,〒150-8935,渋谷区広尾4-1-22,03-3400-1311 ,,,
106,渋谷区,クロス病院,〒151-0072,渋谷区幡ケ谷2-18-20,03-3376-2361 ,,,
107,渋谷区,医療法人内藤病院,〒151-0061,渋谷区初台1-35-10,03-3370-2351 ,,,
108,渋谷区,東京都立広尾病院,〒150-0013,渋谷区恵比寿2-34-10,03-3444-1181 ,,,
109,渋谷区,ＪＲ東京総合病院,〒15１-8528,渋谷区代々木2-1-3,03-3320-2210,,,
110,渋谷区,医療法人財団東京勤労者医療会　代々木病院,〒151-0051,渋谷区千駄ヶ谷1-30-7,03-3404-7661,,,
111,中野区,"一般財団法人自警会
東京警察病院",〒164-8541,中野区中野4-22-1,03-5343-5611 ,,,
112,中野区,"東京医療生活協同組合
新渡戸記念中野総合病院",〒164-8607,中野区中央4-59-16,03-3382-1231 ,,,
113,中野区,"社会医療法人社団健友会
中野共立病院",〒164-0001,中野区中野5-44-7,03-3386-3166,,,
114,中野区,"医療法人財団健貢会
総合東京病院",〒165-0022,中野区江古田3-15-2,03-3387-5421 ,,,
115,中野区,"社会福祉法人浄風園
中野江古田病院",〒165-0022,中野区江古田4-19-9,03-3387-7321 ,,,
116,中野区,"医療法人社団徳静会
横畠病院",〒165-0026,中野区新井1-38-6,03-3389-2531 ,,,
117,杉並区,医療法人財団荻窪病院,〒167-0035,杉並区今川3-1-24,03-3399-1101 ,,,
118,杉並区,"医療法人財団アドベンチスト会
東京衛生アドベンチスト病院",〒167-8507,杉並区天沼3-17-3,03-3392-6151,,,
119,杉並区,"一般社団法人衛生文化協会
城西病院",〒167-0043,杉並区上荻2-42-11,03-3390-4166 ,,,
120,杉並区,"医療法人社団山斗会
山中病院",〒167-0052,杉並区南荻窪1-5-15,03-3335-5611 ,,,
121,杉並区,"医療法人社団君真光
寺田病院",〒168-0081,杉並区宮前5-18-16,03-3332-1166 ,,,
122,杉並区,"医療法人社団東京医心会
ニューハート・ワタナベ国際病院",〒168-0065,杉並区浜田山3-19-11,03-3311-1119,,,
123,杉並区,浜田山病院,〒168-0065,杉並区浜田山4-1-8,03-3311-1195 ,,,
124,杉並区,河北総合病院,〒166-8588,杉並区阿佐谷北1-7-3,03-3339-2121 ,,,
125,杉並区,"医療法人社団静山会
清川病院",〒166-0004,杉並区阿佐谷南2-31-12,03-3312-0151 ,,,
126,杉並区,立正佼成会附属佼成病院,〒166-0012,杉並区和田2-25-1,03-3383-1281 ,,,
127,豊島区,"医療法人社団瑞雲会
高田馬場病院",〒171-0033,豊島区高田3-8-9,03-3971-5114 ,,,
128,豊島区,"医療法人社団豊迪会
大同病院",〒171-0033,豊島区高田3-22-8,03-3981-3213 ,,,
129,豊島区,"医療法人社団日心会
総合病院一心病院",〒170-0004,豊島区北大塚1-18-7,03-3918-1215 ,,,
130,豊島区,東京都立大塚病院,〒170-8476,豊島区南大塚2-8-1,03-3941-3211 ,,,
131,豊島区,"医療法人社団偕翔会
豊島中央病院",〒170-0012,豊島区上池袋2-42-21,03-3916-7211,,,
132,豊島区,岡本病院,〒170-0013,豊島区東池袋2-5-5,03-3987-6580 ,,,
133,豊島区,"医療法人社団生全会
池袋病院",〒170-0013,豊島区東池袋3-5-4,03-3987-2431 ,,,
134,豊島区,"医療法人社団育生會
山口医院",〒170-0001,豊島区西巣鴨1-19-17,03-3915-5885,,,
135,豊島区,"社会医療法人社団大成会
長汐病院",〒170-0014,豊島区池袋1-5-8,03-3984-6161 ,,,
136,豊島区,"医療法人社団雙和会
原整形外科病院",〒171-0021,豊島区西池袋3-36-23,03-3988-5005 ,,,
137,豊島区,要町病院,〒171-0043,豊島区要町1-11-13,03-3957-3181 ,,,
138,豊島区,"医療法人社団仁泉会
としま昭和病院",〒171-0052,豊島区南長崎5-17-9,03-3953-5555 ,,,
139,豊島区,"医療法人社団卓秀会
平塚胃腸病院",〒171-0021,豊島区西池袋3-2-16,03-3982-1161,,,
140,北区,"医療法人社団中央白報会
白報会王子病院",〒114-0002,北区王子2-14-13,03-3912-6611 ,,,
141,北区,王子生協病院,〒114-0003,北区豊島3-4-15,03-3912-2201 ,,,
142,北区,"医療法人財団明理会
明理会中央総合病院",〒114-0001,北区東十条3-2-11,03-5902-1199,,,
143,北区,"医療法人社団田島厚生会
神谷病院",〒115-0043,北区神谷1-27-14,03-3914-5535 ,,,
144,北区,赤羽東口病院,〒115-0045,北区赤羽1-38-5,03-3902-2131 ,,,
145,北区,"医療法人社団福寿会
赤羽岩渕病院",〒115-0045,北区赤羽2-64-13,03-3901-2221 ,,,
146,北区,"医療法人社団博栄会
赤羽中央総合病院",〒115-0044,北区志茂1-19-14,03-3902-0348 ,,,
147,北区,公益社団法人地域医療振興協会　東京北医療センター,〒115-0053,北区赤羽台4-17-56,03-5963-3311,,,
148,北区,"医療法人社団博栄会
浮間中央病院",〒115-0052,北区赤羽北2-21-19,03-3907-8711,,,
149,北区,花と森の東京病院,〒114-0024,北区西ヶ原2-3-6,03-3910-1151,,,
150,荒川区,"社会医療法人一成会
木村病院",〒116-0001,荒川区町屋2-3-7,03-3892-3161 ,,,
151,荒川区,"東京女子医科大学
東医療センター",〒116-8567,荒川区西尾久2-1-10,03-3810-1111 ,,,
152,荒川区,"医療法人社団藤寿会
佐藤病院",〒116-0011,荒川区西尾久5-7-1,03-3893-6525 ,,,
153,荒川区,"医療法人社団杏精会
岡田病院",〒116-0002,荒川区荒川5-3-1,03-3891-2231 ,,,
154,荒川区,荒木記念東京リバーサイド病院,〒116-0003 ,荒川区南千住8-4-4,03-5850-0311　,,,
155,板橋区,日本大学医学部附属板橋病院,〒173-8610,板橋区大谷口上町30-1,03-3972-8111 ,,,
156,板橋区,公益財団法人東京都保健医療公社　豊島病院,〒173-0015,板橋区栄町33-1,03-5375-1234 ,,,
157,板橋区,"地方独立行政法人
東京都健康長寿医療センター",〒173-0015,板橋区栄町35-2,03-3964-1141 ,,,
158,板橋区,一般財団法人精神医学研究所附属東京武蔵野病院,〒173-0037,板橋区小茂根4-11-11,03-5986-3111 ,,,
159,板橋区,"医療法人財団同潤会
富士見病院",〒173-0012,板橋区大和町14-16,03-3962-2431 ,,,
160,板橋区,"医療法人社団昭成会
田﨑病院",〒173-0033,板橋区大山西町5-3,03-3956-0864 ,,,
161,板橋区,"医療法人社団和好会
金子病院",〒174-0072,板橋区南常盤台1-15-14,03-3956-0145 ,,,
162,板橋区,"医療法人財団朔望会
常盤台外科病院",〒174-0071,板橋区常盤台2-25-20,03-3960-7211 ,,,
163,板橋区,"医療法人社団明芳会
イムス記念病院",〒174-0071,板橋区常盤台4-25-5,03-3932-9181,,,
164,板橋区,"医療法人社団慈誠会
上板橋病院",〒174-0071,板橋区常盤台4-36-9,03-3933-7191,,,
165,板橋区,帝京大学医学部附属病院,〒173-0003,板橋区加賀2-11-1,03-3964-1211 ,,,
166,板橋区,"医療法人財団明理会
東京腎泌尿器センター大和病院",〒173-0001,板橋区本町36-3,03-5943-2411,,,
167,板橋区,"医療法人社団叡宥会
安田病院",〒175-0094,板橋区成増1-13-9,03-3939-0101 ,,,
168,板橋区,"医療法人社団正風会
小林病院",〒175-0094,板橋区成増3-10-8,03-3930-7077 ,,,
169,板橋区,"医療法人社団誠志会
誠志会病院",〒174-0043,板橋区坂下1-40-2,03-3968-2621 ,,,
170,板橋区,"医療法人財団健康文化会
小豆沢病院",〒174-0051,板橋区小豆沢1-6-8,03-3966-8411 ,,,
171,板橋区,"医療法人社団明芳会
板橋中央総合病院",〒174-0051,板橋区小豆沢2-12-7,03-3967-1181 ,,,
172,板橋区,"医療法人社団田島厚生会
舟渡病院",〒174-0041,板橋区舟渡2-19-12,03-3968-8851 ,,,
173,板橋区,"医療法人社団明芳会
高島平中央総合病院",〒175-0082,.板橋区高島平1-73-1,03-3936-7451 ,,,
174,板橋区,板橋区医師会病院,〒175-0082,板橋区高島平3-12-6,03-3975-8151 ,,, 
175,板橋区,"医療法人社団慈誠会
東武練馬中央病院",〒175-0083,板橋区徳丸3-19-1,03-3934-1611,,,
176,板橋区,"医療法人社団慈誠会
浮間舟渡病院",〒174-0041,板橋区舟渡1-17-1,03-5994-5111,,,
177,練馬区,浩生会スズキ病院,〒176-0006,練馬区栄町7-1,03-3557-2001 ,,,
178,練馬区,公益財団法人東京都医療保健協会　練馬総合病院,〒176-8530,練馬区旭丘1-24-1,03-5988-2200 ,,,
179,練馬区,公益社団法人地域医療振興協会　練馬光が丘病院,〒179-0072,練馬区光が丘2-11-1,03-3979-3611 ,,,
180,練馬区,"順天堂大学医学部附属
練馬病院",〒177-8521,練馬区高野台3-1-10,03-5923-3111,,,
181,練馬区,"医療法人社団千秋会
田中脳神経外科病院",〒177-0053,練馬区関町南3-9-23,03-3920-6263 ,,,
182,練馬区,"医療法人社団
久保田産婦人科病院",〒178-0063,練馬区東大泉3-29-10,03-3922-0262 ,,,
183,練馬区,"医療法人社団川満惠光会
川満外科",〒178-0063,練馬区東大泉6-34-46,03-3922-2912 ,,,
184,練馬区,大泉生協病院,〒178-0063,練馬区東大泉6-3-3,03-5387-3111,,,
185,足立区,"特定医療法人社団潤恵会
敬仁病院",〒123-0865,足立区新田2-18-6,03-3913-3106 ,,,
186,足立区,"医療法人社団哲仁会
井口病院",〒120-0034,足立区千住2-19,03-3881-2221 ,,,
187,足立区,"医療法人社団寿英会
内田病院",〒120-0034,足立区千住2-39,03-3888-7321 ,,,
188,足立区,愛里病院,〒120-0025,足立区千住東1-20-12,03-3888-7721 ,,,
189,足立区,"医療法人社団心和会
足立共済病院",〒120-0022,足立区柳原1-36-8,03-3881-6116 ,,,
190,足立区,"社会福祉法人
勝楽堂病院",〒120-0032,足立区千住柳町5-1,03-3881-0137 ,,,
191,足立区,"医療法人財団健和会
柳原病院",〒120-0023,足立区千住曙町35-1,03-3882-1928 ,,,
192,足立区,"社会医療法人社団医善会
いずみ記念病院",〒123-0853,足立区本木1-3-7,03-5888-2111 ,,,
193,足立区,博慈会記念総合病院,〒123-0864,足立区鹿浜5-11-1,03-3899-1311 ,,,
194,足立区,"医療法人社団成和会
西新井ハートセンター病院",〒123-0845,足立区西新井本町1-12-8,03-5838-0730 ,,,
195,足立区,西新井病院,〒123-0845,足立区西新井本町1-12-12,03-5647-1700,,,
196,足立区,"医療法人社団けいせい会
東京北部病院",〒123-0872,足立区江北6-24-6,03-3854-3181 ,,,
197,足立区,"社会医療法人社団昭愛会
水野記念病院",〒123-0841,足立区西新井6-32-10,03-3898-8080 ,,,
198,足立区,"医療法人社団洪泳会
東京洪誠病院",〒123-0843,足立区西新井栄町1-17-25,03-5888-9880,,,
199,足立区,"医療法人社団苑田会
苑田第三病院",〒121-0807,足立区伊興本町2-5-10,03-5837-5111,,,
200,足立区,"医療法人社団俊和会
寺田病院",〒123-0873,足立区扇1-20-12,03-3898-5231,,,
201,足立区,"医療法人社団苑田会
苑田第一病院",〒121-0813,足立区竹の塚4-1-12,03-3850-5721 ,,,
202,足立区,"社会医療法人社団慈生会
等潤病院",〒121-0075,足立区一ツ家4-3-4,03-3850-8711 ,,,
203,足立区,医療法人財団梅田病院,〒123-0851,足立区梅田7-1-2,03-3840-4511 ,,,
204,足立区,"医療法人社団大坪会
東和病院",〒120-0003,足立区東和4-7-10,03-3629-8111 ,,,
205,足立区,"医療法人社団日岩会
下井病院",〒120-0005,足立区綾瀬3-28-8,03-3620-8811 ,,,
206,足立区,綾瀬循環器病院,〒120-0006,足立区谷中2-16-7,03-3605-2811 ,,,
207,足立区,"医療法人社団福寿会
福寿会足立東部病院",〒121-0816,足立区梅島2-35-16,03-3880-1221 ,,,
208,足立区,"医療法人社団福寿会
福寿会舎人病院",〒121-0863,足立区谷在家1-8-14,03-3854-4111,,,
209,足立区,"医療法人社団東京朝日会
あさひ病院",〒121-0076,足立区平野1-2-3,03-5242-5800,,,
210,足立区,"医療法人社団忠医会
大高病院",〒121-0815,足立区島根3-17-8,03-5856-7319,,,
211,足立区,あやせ循環器リハビリ病院,〒120-0006,足立区谷中3-12-10,03-3605-2831,,,
212,葛飾区,"医療法人社団直和会
平成立石病院",〒124-0012,葛飾区立石5-1-9,03-3692-2121,,,
213,葛飾区,"医療法人社団明芳会
イムス東京葛飾総合病院",〒124-0025,葛飾区西新小岩4-18-1,03-5670-9901 ,,,
214,葛飾区,"医療法人社団明芳会
イムス葛飾ハートセンター",〒124-0006,葛飾区堀切3-30-1,03-3694-8100,,,
215,葛飾区,"医療法人財団慈光会
堀切中央病院",〒124-0006,葛飾区堀切7-4-4,03-3602-3135 ,,,
216,葛飾区,"東京慈恵会医科大学
葛飾医療センター",〒125-8506,葛飾区青戸6-41-2,03-3603-2111 ,,,
217,葛飾区,"医療法人社団玲瓏会
金町中央病院",〒125-0042,葛飾区金町1-9-1,03-3607-2001 ,,,
218,葛飾区,"社会医療法人社団光仁会
第一病院",〒125-0041,葛飾区東金町4-2-10,03-3607-0007 ,,,
219,葛飾区,"医療法人財団謙仁会
亀有病院",〒125-8520,葛飾区亀有3-36-3,03-3601-0186 ,,,
220,葛飾区,公益財団法人東京都保健医療公社　東部地域病院,〒125-0061,葛飾区亀有5-14-1,03-5682-5111 ,,,
221,江戸川区,"医療法人社団晃山会
松江病院",〒132-0025,江戸川区松江2-6-15,03-3652-3121 ,,,
222,江戸川区,"医療法人社団津端会
京葉病院",〒132-0025,江戸川区松江2-43-12,03-3654-8211 ,,,
223,江戸川区,医療法人社団東京ハートサミット　東京心臓不整脈病院,〒132-0035,江戸川区平井3-25-17,03-3638-2301 ,,,
224,江戸川区,"医療法人社団福仁会
小松川病院",〒132-0021,江戸川区中央1-1-15,03-3655-5511 ,,,
225,江戸川区,医療法人社団同愛会病院,〒132-0031,江戸川区松島1-42-21,03-3654-3311 ,,,
226,江戸川区,医療法人社団葛西中央病院,〒134-0091,江戸川区船堀7-10-3,03-3680-8121 ,,,
227,江戸川区,"医療法人社団昌医会
葛西昌医会病院",〒134-0084,江戸川区東葛西6-30-3,03-5696-1611 ,,,
228,江戸川区,"社会医療法人社団森山医会
森山記念病院",〒134-0081,江戸川区北葛西4-3-1,03-5679-1211,,,
229,江戸川区,"日本私立学校振興・共済事業団
東京臨海病院",〒134-0086,江戸川区臨海町1-4-2,03-5605-8811,,,
230,江戸川区,"医療法人財団岩井医療財団
岩井整形外科内科病院",〒133-0056,江戸川区南小岩8-17-2,03-5694-6211 ,,,
231,江戸川区,"社会福祉法人仁生社
江戸川病院",〒133-0052,江戸川区東小岩2-24-18,03-3673-1221 ,,,
